Player,Team,Position,Price,PricedAt,Breakeven,LastSeason,Owned
Lucy Burke,St Kilda,Defender,"$33,800",20,20,20,0.8
Jordan Membrey,Collingwood,Forward,"$33,500",20,20,0,3.4
Lauren Wakfer,West Coast Eagles,Ruck,"$33,500",20,20,0,0.8
Annie Lee,Carlton,Defender,"$33,200",20,20,22,6.9
Erica Fowler,Collingwood,Ruck,"$33,000",20,20,20,0.4
J'Noemi Anderson,St Kilda,Forward,"$32,300",19,19,0,1.2
McKenzie Dowrick,Adelaide Crows,Forward,"$32,100",19,19,25,0.8
Renee Saulitis,St Kilda,Forward,"$31,800",19,19,19,0.1
Indy Tahau,Port Adelaide,Defender,"$31,600",19,19,19,2.6
Stella Reid,Richmond,Defender,"$31,500",19,19,19,1.3
Krstel Petrevski,West Coast Eagles,Forward,"$31,500",19,19,23,1.1
Shanae Davison,West Coast Eagles,Forward,"$31,400",19,19,20,0.3
Danielle Marshall,Essendon,Forward,"$31,200",18,18,0,0.5
Samantha Johnson,Melbourne,Midfielder,"$31,200",18,18,0,2.8
Keeley Skepper,Carlton,Midfielder,"$31,100",18,18,0,4.4
Jodie Hicks,GWS Giants,Forward,"$31,100",18,18,0,0.5
Janet Baird,Hawthorn,Forward,"$30,800",18,18,24,1.4
Joanna Lin,Collingwood,Midfielder,"$30,600",18,18,0,0.1
Millie Brown,Western Bulldogs,Defender,"$30,400",18,18,0,3
Tahlia Gillard,Melbourne,Ruck,"$30,300",18,18,20,3.8
Mia Austin,Carlton,Forward,"$29,900",18,18,0,5.8
Tamara Luke,Hawthorn,Ruck,"$29,800",18,18,0,21.9
Dayna Cox,Adelaide Crows,Defender,"$29,600",18,18,0,0.3
Jessica Sedunary,West Coast Eagles,Midfielder,"$29,000",17,17,0,1.8
Keeley Kustermann,Adelaide Crows,Defender,"$28,700",17,17,0,3.6
Kiera Mueller,Adelaide Crows,Defender,"$28,700",17,17,0,0.5
Jess Waterhouse,Adelaide Crows,Defender,"$28,700",17,17,0,1.3
Sharni Webb,Brisbane Lions,Defender,"$28,700",17,17,12,4
Lily Postlethwaite,Brisbane Lions,Midfielder,"$28,700",17,17,0,4.2
Gabrielle Collingwood,Brisbane Lions,Forward,"$28,700",17,17,4,0.8
Maggie Harmer,Brisbane Lions,Defender,"$28,700",17,17,0,0.4
Bella Smith,Brisbane Lions,Forward,"$28,700",17,17,0,0.6
Ella Smith,Brisbane Lions,Midfielder,"$28,700",17,17,0,1.1
Mikayla Pauga,Brisbane Lions,Forward,"$28,700",17,17,0,0.5
Charlotte Mullins,Brisbane Lions,Midfielder,"$28,700",17,17,0,0.3
Kiara Hillier,Brisbane Lions,Defender,"$28,700",17,17,0,1.6
Jessica Jones,Carlton,Defender,"$28,700",17,17,0,0.3
Charlotte Hammans,Carlton,Midfielder,"$28,700",17,17,13,0.5
Lily Goss,Carlton,Midfielder,"$28,700",17,17,0,0.4
Imogen Milford,Carlton,Forward,"$28,700",17,17,0,0.8
Serena Gibbs,Carlton,Ruck,"$28,700",17,17,0,0.5
Taylor Ortlepp,Carlton,Forward,"$28,700",17,17,0,0.1
Poppy Schaap,Carlton,Forward,"$28,700",17,17,7,0.1
Imogen Barnett,Collingwood,Forward,"$28,700",17,17,16,7.3
Imogen Evans,Collingwood,Midfielder,"$28,700",17,17,0,11.6
Charlotte Taylor,Collingwood,Defender,"$28,700",17,17,0,0.2
Charlotte Blair,Collingwood,Forward,"$28,700",17,17,0,0.1
Emily Smith,Collingwood,Defender,"$28,700",17,17,0,0.2
Caitlin Sargent,Essendon,Forward,"$28,700",17,17,0,1
Georgia Nanscawen,Essendon,Midfielder,"$28,700",17,17,0,0.3
Bella Ayre,Essendon,Forward,"$28,700",17,17,0,0.7
Jorja Borg,Essendon,Ruck,"$28,700",17,17,0,7.1
Alana Barba,Essendon,Midfielder,"$28,700",17,17,19,13.8
Joanne Doonan,Essendon,Forward,"$28,700",17,17,0,0.9
Olivia Barton,Essendon,Defender,"$28,700",17,17,0,1.3
Eloise Ashley-Cooper,Essendon,Defender,"$28,700",17,17,0,1.1
Federica Frew,Essendon,Forward,"$28,700",17,17,0,1
Mia Van Dyke,Essendon,Forward,"$28,700",17,17,0,0.9
Amelia Radford,Essendon,Midfielder,"$28,700",17,17,0,3.5
Renee Tierney,Essendon,Forward,"$28,700",17,17,0,0.4
Ashleigh Van Loon,Essendon,Midfielder,"$28,700",17,17,0,0.4
Mia Busch,Essendon,Defender,"$28,700",17,17,0,7.3
Stephanie Wales,Essendon,Ruck,"$28,700",17,17,0,3.5
Madeleine Scanlon,Fremantle,Defender,"$28,700",17,17,0,2.8
Tahlia Read,Fremantle,Forward,"$28,700",17,17,0,1.1
Tara Stribley,Fremantle,Forward,"$28,700",17,17,0,0.5
Megan Kauffman,Fremantle,Forward,"$28,700",17,17,0,13.3
Orlagh Lally,Fremantle,Defender,"$28,700",17,17,0,0.9
Amy Mulholland,Fremantle,Forward,"$28,700",17,17,0,0.5
Zarlie Goldsworthy,GWS Giants,Forward,"$28,700",17,17,0,4.9
Isadora McLeay,GWS Giants,Defender,"$28,700",17,17,0,0.2
Fleur Davies,GWS Giants,Ruck,"$28,700",17,17,0,36.4
Meghan Gaffney,GWS Giants,Forward,"$28,700",17,17,0,0.5
Madison Brazendale,GWS Giants,Midfielder,"$28,700",17,17,0,0.4
Cambridge McCormick,GWS Giants,Ruck,"$28,700",17,17,0,0.6
Georgina Fowler,GWS Giants,Forward,"$28,700",17,17,4,0.3
Casidhe Simmons,GWS Giants,Forward,"$28,700",17,17,12,0.7
Brodee Mowbray,GWS Giants,Forward,"$28,700",17,17,2,0.2
Zara Hamilton,GWS Giants,Midfielder,"$28,700",17,17,0,0.8
Tess Cattle,GWS Giants,Midfielder,"$28,700",17,17,0,0.4
Georgia Clarke,Geelong Cats,Defender,"$28,700",17,17,5,1.9
Brooke Plummer,Geelong Cats,Defender,"$28,700",17,17,0,0.7
Samantha Gooden,Geelong Cats,Ruck,"$28,700",17,17,0,0.6
Mia Skinner,Geelong Cats,Forward,"$28,700",17,17,0,1.4
Ingrid Houtsma,Geelong Cats,Forward,"$28,700",17,17,0,0.2
Gabbi Featherston,Geelong Cats,Forward,"$28,700",17,17,16,1.3
Abbey McDonald,Geelong Cats,Defender,"$28,700",17,17,0,0.8
Teagan Levi,Gold Coast Suns,Midfielder,"$28,700",17,17,0,0.3
Gabrielle Biedenweg-Webster,Gold Coast Suns,Defender,"$28,700",17,17,0,1.4
Georgia Clayden,Gold Coast Suns,Defender,"$28,700",17,17,0,0.5
Ashanti Bush,Gold Coast Suns,Forward,"$28,700",17,17,15,1.1
Krystal Scott,Gold Coast Suns,Forward,"$28,700",17,17,0,0.3
Giselle Davies,Gold Coast Suns,Defender,"$28,700",17,17,0,0.7
Alana Gee,Gold Coast Suns,Midfielder,"$28,700",17,17,0,1
Claire Ransom,Gold Coast Suns,Midfielder,"$28,700",17,17,0,1.2
Jasmyn Smith,Gold Coast Suns,Forward,"$28,700",17,17,0,0.3
Isabelle Porter,Hawthorn,Midfielder,"$28,700",17,17,0,0.7
